Overtime	Favorite_Points	Underdog_Points	Pointspread	Favorite_Name	Underdog_name	Year	Week	Weekday	target
0	16.0	15.0	2.5	0	16	89.0	6.0	0	0
0	29.0	14.0	5.5	17	19	89.0	6.0	0	0
0	17.0	5.0	3.5	20	21	89.0	6.0	0	1
0	7.0	17.0	9.0	4	22	89.0	6.0	0	0
0	31.0	14.0	14.0	25	5	89.0	6.0	0	1
0	16.0	17.0	0.0	23	24	89.0	6.0	0	0
0	20.0	17.0	3.0	18	27	89.0	6.0	0	0
0	20.0	23.0	3.5	13	1	89.0	6.0	0	1
0	34.0	20.0	2.0	21	0	89.0	7.0	0	0
0	36.0	28.0	9.0	11	5	89.0	7.0	0	0
0	21.0	24.0	3.0	24	6	89.0	7.0	0	0
0	23.0	20.0	3.0	14	8	89.0	7.0	0	0
0	12.0	23.0	6.5	3	10	89.0	7.0	0	0
0	10.0	7.0	6.5	20	12	89.0	7.0	0	0
0	20.0	7.0	7.5	15	7	89.0	7.0	0	1
0	37.0	20.0	11.0	25	16	89.0	7.0	0	0
0	21.0	40.0	7.0	13	17	89.0	7.0	0	0
0	20.0	13.0	4.0	18	23	89.0	7.0	0	1
0	34.0	3.0	7.0	1	19	89.0	7.0	0	0
0	27.0	0.0	10.0	9	22	89.0	7.0	0	0
0	32.0	28.0	8.0	27	26	89.0	7.0	0	0
0	27.0	7.0	1.0	4	2	89.0	7.0	0	0
0	20.0	13.0	7.0	17	0	89.0	8.0	0	0
1	23.0	20.0	6.5	8	7	89.0	8.0	0	0
0	28.0	17.0	2.5	4	9	89.0	8.0	0	0
0	23.0	17.0	2.0	22	11	89.0	8.0	0	0
0	20.0	10.0	2.5	2	13	89.0	8.0	0	0
0	31.0	17.0	4.0	1	14	89.0	8.0	0	0
1	20.0	23.0	6.0	10	16	89.0	8.0	0	0
0	24.0	28.0	3.0	6	20	89.0	8.0	0	0
0	19.0	10.0	4.0	21	5	89.0	8.0	0	1
0	10.0	7.0	6.0	24	23	89.0	8.0	0	0
0	23.0	10.0	8.5	25	19	89.0	8.0	0	1
0	56.0	23.0	6.5	3	26	89.0	8.0	0	0
0	24.0	37.0	2.0	27	12	89.0	8.0	0	1
0	24.0	14.0	2.0	18	15	89.0	8.0	0	0
0	28.0	30.0	3.0	1	0	89.0	9.0	0	1
0	13.0	14.0	3.0	2	8	89.0	9.0	0	1
0	7.0	28.0	1.5	3	12	89.0	9.0	0	1
0	42.0	31.0	3.0	4	26	89.0	9.0	0	1
0	35.0	31.0	10.0	9	7	89.0	9.0	0	0
0	19.0	13.0	3.0	14	10	89.0	9.0	0	0
1	23.0	21.0	4.5	15	13	89.0	9.0	0	0
0	20.0	13.0	3.0	18	21	89.0	9.0	0	1
0	26.0	27.0	7.5	16	19	89.0	9.0	0	0
0	17.0	20.0	4.0	20	23	89.0	9.0	0	1
0	34.0	7.0	7.5	6	22	89.0	9.0	0	0
0	20.0	10.0	2.5	11	24	89.0	9.0	0	0
0	3.0	13.0	14.0	27	5	89.0	9.0	2	0
0	31.0	13.0	6.0	25	17	89.0	9.0	0	0
0	45.0	3.0	10.5	25	0	89.0	10.0	0	0
0	20.0	0.0	3.5	2	22	89.0	10.0	0	1
0	17.0	7.0	2.5	4	24	89.0	10.0	0	1
0	24.0	20.0	7.0	21	5	89.0	10.0	0	0
0	13.0	16.0	0.0	11	6	89.0	10.0	0	0
0	22.0	31.0	1.5	8	7	89.0	10.0	0	1
0	30.0	7.0	6.5	1	10	89.0	10.0	0	0
0	31.0	23.0	3.0	14	19	89.0	10.0	0	1
0	24.0	10.0	5.5	15	26	89.0	10.0	0	1
0	28.0	24.0	2.5	17	16	89.0	10.0	0	1
0	31.0	10.0	2.5	13	18	89.0	10.0	0	0
0	3.0	10.0	5.0	20	27	89.0	10.0	0	0
0	12.0	14.0	2.5	12	23	89.0	10.0	2	1
0	26.0	24.0	6.0	9	3	89.0	10.0	0	0
0	24.0	33.0	6.0	1	16	89.0	11.0	0	1
0	42.0	7.0	7.0	3	7	89.0	11.0	0	0
0	17.0	21.0	10.0	25	8	89.0	11.0	0	0
1	10.0	10.0	7.0	4	11	89.0	11.0	0	0
0	23.0	7.0	5.0	9	12	89.0	11.0	0	0
0	17.0	14.0	6.5	14	5	89.0	11.0	0	1
0	9.0	10.0	1.0	15	20	89.0	11.0	0	1
0	26.0	17.0	3.0	17	0	89.0	11.0	0	1
0	37.0	14.0	10.5	13	21	89.0	11.0	0	0
0	20.0	17.0	2.5	22	23	89.0	11.0	0	0
0	15.0	3.0	9.0	18	24	89.0	11.0	0	0
0	31.0	32.0	10.0	2	26	89.0	11.0	0	0
0	27.0	10.0	6.0	10	19	89.0	11.0	2	0
0	10.0	14.0	2.5	27	6	89.0	11.0	0	0
0	10.0	13.0	6.0	4	7	89.0	12.0	3	1
0	27.0	0.0	6.0	20	5	89.0	12.0	3	1
0	27.0	7.0	2.0	19	0	89.0	12.0	0	0
0	14.0	38.0	0.0	2	27	89.0	12.0	0	1
0	24.0	7.0	3.0	1	3	89.0	12.0	0	0
0	0.0	34.0	1.5	9	11	89.0	12.0	0	1
0	19.0	20.0	3.0	15	8	89.0	12.0	0	1
0	24.0	21.0	6.5	12	16	89.0	12.0	0	0
0	14.0	34.0	7.5	14	22	89.0	12.0	0	0
0	10.0	6.0	4.5	10	23	89.0	12.0	0	0
0	41.0	14.0	9.5	6	24	89.0	12.0	0	0
0	13.0	14.0	1.5	21	26	89.0	12.0	0	0
1	20.0	17.0	0.0	13	17	89.0	12.0	2	1
0	34.0	24.0	5.0	25	18	89.0	12.0	0	0
0	0.0	21.0	4.0	4	3	89.0	13.0	0	0
1	16.0	13.0	1.5	12	6	89.0	13.0	0	0
0	17.0	16.0	2.5	8	26	89.0	13.0	0	1
0	23.0	16.0	3.0	9	22	89.0	13.0	0	1
0	22.0	16.0	1.5	16	10	89.0	13.0	0	0
0	35.0	31.0	9.5	13	5	89.0	13.0	0	1
0	26.0	21.0	3.5	11	14	89.0	13.0	0	0
0	14.0	21.0	4.0	17	7	89.0	13.0	0	1
0	17.0	20.0	4.5	23	19	89.0	13.0	0	0
0	17.0	24.0	3.0	18	20	89.0	13.0	0	0
0	23.0	10.0	9.5	25	0	89.0	13.0	0	1
0	29.0	10.0	4.0	27	21	89.0	13.0	0	1
0	27.0	16.0	6.0	15	2	89.0	13.0	2	0
0	16.0	17.0	5.5	1	24	89.0	13.0	0	1
0	43.0	17.0	12.0	15	0	89.0	14.0	0	0
1	17.0	23.0	1.0	4	10	89.0	14.0	0	1
0	20.0	10.0	12.0	20	5	89.0	14.0	0	0
0	17.0	27.0	6.5	2	7	89.0	14.0	0	0
0	3.0	21.0	3.0	8	11	89.0	14.0	0	0
0	19.0	22.0	6.0	1	17	89.0	14.0	0	0
0	7.0	14.0	3.0	6	18	89.0	14.0	0	0
0	16.0	14.0	9.0	12	21	89.0	14.0	0	0
0	0.0	13.0	1.5	19	22	89.0	14.0	0	0
0	26.0	21.0	9.5	27	23	89.0	14.0	0	0
0	17.0	24.0	10.0	3	24	89.0	14.0	0	0
0	20.0	17.0	8.0	9	26	89.0	14.0	0	0
0	31.0	10.0	5.0	14	16	89.0	14.0	2	0
0	27.0	30.0	0.0	13	25	89.0	14.0	0	0
0	15.0	0.0	12.0	18	5	89.0	15.0	1	0
0	37.0	0.0	7.0	6	21	89.0	15.0	1	1
0	21.0	10.0	6.5	25	1	89.0	15.0	0	0
0	28.0	40.0	1.5	2	8	89.0	15.0	0	0
0	61.0	7.0	3.5	3	9	89.0	15.0	0	0
0	42.0	13.0	0.0	10	14	89.0	15.0	0	0
1	17.0	23.0	1.5	15	4	89.0	15.0	0	1
0	28.0	10.0	3.0	22	16	89.0	15.0	0	0
0	38.0	14.0	11.0	13	19	89.0	15.0	0	0
0	13.0	20.0	7.5	11	23	89.0	15.0	0	0
0	33.0	7.0	2.5	7	26	89.0	15.0	0	0
0	31.0	30.0	6.5	27	0	89.0	15.0	0	1
0	23.0	17.0	0.0	24	12	89.0	15.0	2	0
0	20.0	30.0	1.0	20	17	89.0	15.0	0	1
0	37.0	0.0	7.0	1	19	89.0	16.0	1	1
0	0.0	29.0	2.0	24	27	89.0	16.0	1	0
0	20.0	24.0	3.5	9	4	89.0	16.0	1	0
0	26.0	0.0	9.0	25	2	89.0	16.0	0	0
0	16.0	19.0	2.5	6	23	89.0	16.0	0	1
0	31.0	24.0	3.0	7	0	89.0	16.0	0	1
0	20.0	10.0	7.0	8	5	89.0	16.0	0	1
0	41.0	6.0	2.5	17	10	89.0	16.0	0	0
0	24.0	27.0	3.5	14	11	89.0	16.0	0	0
0	34.0	17.0	6.5	18	12	89.0	16.0	0	0
0	24.0	20.0	7.0	13	16	89.0	16.0	0	1
0	31.0	14.0	12.0	20	21	89.0	16.0	0	0
0	31.0	22.0	2.0	22	26	89.0	16.0	0	1
0	29.0	21.0	6.0	15	3	89.0	16.0	0	0
0	27.0	24.0	1.0	14	16	90.0	1.0	0	1
0	21.0	38.0	6.5	7	26	90.0	1.0	0	0
0	17.0	0.0	6.0	2	24	90.0	1.0	0	0
0	24.0	36.0	3.0	13	8	90.0	1.0	0	1
0	31.0	0.0	11.5	27	21	90.0	1.0	0	0
0	21.0	24.0	1.5	15	11	90.0	1.0	0	1
0	26.0	10.0	8.0	1	10	90.0	1.0	0	0
0	14.0	17.0	3.0	23	5	90.0	1.0	0	1
0	9.0	14.0	1.0	6	12	90.0	1.0	0	1
0	47.0	27.0	1.0	0	9	90.0	1.0	0	0
0	25.0	20.0	9.0	3	19	90.0	1.0	0	0
0	13.0	3.0	3.0	4	22	90.0	1.0	0	0
0	27.0	20.0	4.5	18	20	90.0	1.0	2	0
0	13.0	12.0	4.5	25	17	90.0	1.0	0	1
0	14.0	16.0	2.5	10	16	90.0	2.0	0	0
0	7.0	30.0	2.0	1	14	90.0	2.0	0	1
0	21.0	16.0	3.0	3	23	90.0	2.0	0	1
0	21.0	24.0	2.0	4	19	90.0	2.0	0	1
0	21.0	14.0	3.0	7	0	90.0	2.0	0	0
0	13.0	31.0	3.0	8	2	90.0	2.0	0	0
0	35.0	14.0	3.0	13	26	90.0	2.0	0	1
0	32.0	3.0	6.0	15	17	90.0	2.0	0	0
0	28.0	7.0	8.0	18	5	90.0	2.0	0	1
0	21.0	23.0	13.5	20	21	90.0	2.0	0	0
0	20.0	9.0	2.5	22	9	90.0	2.0	0	0
0	26.0	13.0	6.5	25	27	90.0	2.0	0	0
0	17.0	13.0	0.0	12	24	90.0	2.0	2	1
0	24.0	23.0	5.0	6	11	90.0	2.0	0	0
0	41.0	7.0	9.5	3	16	90.0	3.0	0	0
0	19.0	16.0	2.0	2	15	90.0	3.0	0	0
0	14.0	24.0	5.5	4	23	90.0	3.0	0	0
1	34.0	31.0	9.0	6	24	90.0	3.0	0	0
0	3.0	17.0	3.0	8	11	90.0	3.0	0	0
0	24.0	10.0	9.0	9	10	90.0	3.0	0	0
0	20.0	3.0	3.5	12	22	90.0	3.0	0	0
0	21.0	27.0	5.5	13	20	90.0	3.0	0	0
0	28.0	7.0	9.0	17	21	90.0	3.0	0	0
0	20.0	3.0	7.0	18	14	90.0	3.0	0	0
0	19.0	13.0	10.5	25	0	90.0	3.0	0	0
0	23.0	20.0	2.0	26	7	90.0	3.0	0	0
0	19.0	15.0	14.0	27	5	90.0	3.0	2	0
0	30.0	7.0	2.0	1	19	90.0	3.0	0	1
0	37.0	13.0	1.0	19	16	90.0	4.0	0	1
0	29.0	28.0	3.0	1	6	90.0	4.0	0	0
0	21.0	24.0	2.5	7	8	90.0	4.0	0	0
0	34.0	0.0	6.5	11	4	90.0	4.0	0	0
0	24.0	10.0	1.0	12	2	90.0	4.0	0	0
0	28.0	6.0	2.0	14	22	90.0	4.0	0	1
1	20.0	23.0	8.0	15	26	90.0	4.0	0	0
0	31.0	17.0	13.5	18	5	90.0	4.0	0	0
0	23.0	24.0	13.0	20	10	90.0	4.0	0	0
0	7.0	17.0	2.0	23	9	90.0	4.0	0	0
0	38.0	10.0	7.0	27	21	90.0	4.0	2	1
0	16.0	31.0	2.5	3	24	90.0	4.0	0	1
0	33.0	20.0	2.5	24	16	90.0	5.0	0	1
0	28.0	27.0	2.0	0	17	90.0	5.0	0	0
0	10.0	14.0	3.0	26	5	90.0	5.0	0	1
0	27.0	13.0	4.0	2	8	90.0	5.0	0	0
0	19.0	23.0	6.0	11	10	90.0	5.0	0	1
1	31.0	34.0	4.5	13	3	90.0	5.0	0	0
0	20.0	16.0	6.0	14	19	90.0	5.0	0	0
0	27.0	34.0	7.0	15	7	90.0	5.0	0	0
0	14.0	36.0	1.5	23	22	90.0	5.0	0	1
0	24.0	21.0	5.5	25	9	90.0	5.0	0	1
0	38.0	24.0	3.0	1	12	90.0	5.0	2	0
0	29.0	30.0	9.0	6	4	90.0	5.0	0	0
0	17.0	34.0	8.5	6	22	90.0	6.0	0	0
0	48.0	17.0	3.5	9	3	90.0	6.0	0	0
0	43.0	24.0	6.5	11	7	90.0	6.0	0	0
0	24.0	17.0	5.5	12	24	90.0	6.0	0	0
0	25.0	20.0	6.0	17	4	90.0	6.0	0	0
0	3.0	39.0	5.0	19	23	90.0	6.0	0	0
0	20.0	3.0	2.0	21	5	90.0	6.0	0	0
0	45.0	35.0	6.0	25	0	90.0	6.0	0	1
0	26.0	14.0	2.0	26	8	90.0	6.0	0	0
0	20.0	24.0	0.0	27	18	90.0	6.0	0	0
0	38.0	9.0	2.0	2	13	90.0	6.0	2	0
0	32.0	24.0	4.5	20	15	90.0	6.0	0	0
0	17.0	10.0	10.0	14	16	90.0	7.0	3	0
0	30.0	27.0	9.0	1	19	90.0	7.0	0	0
0	27.0	17.0	0.0	6	10	90.0	7.0	0	1
0	24.0	9.0	2.5	12	23	90.0	7.0	0	1
0	44.0	24.0	7.0	13	0	90.0	7.0	0	0
0	20.0	19.0	13.5	18	21	90.0	7.0	0	0
0	27.0	7.0	10.0	25	22	90.0	7.0	0	0
0	19.0	7.0	1.5	24	11	90.0	7.0	0	0
0	13.0	17.0	8.5	26	5	90.0	7.0	0	0
0	13.0	7.0	4.0	27	20	90.0	7.0	0	0
0	23.0	10.0	6.0	9	17	90.0	7.0	0	0
0	13.0	34.0	2.5	4	3	90.0	7.0	0	0
0	27.0	10.0	6.5	1	16	90.0	8.0	0	1
0	10.0	27.0	5.5	17	7	90.0	8.0	0	0
0	27.0	7.0	2.5	14	10	90.0	8.0	0	1
0	24.0	10.0	2.5	8	15	90.0	8.0	0	0
0	12.0	17.0	9.0	9	19	90.0	8.0	0	0
0	21.0	20.0	3.5	20	5	90.0	8.0	0	1
0	31.0	21.0	6.0	2	21	90.0	8.0	0	1
0	20.0	17.0	13.0	25	4	90.0	8.0	0	0
0	41.0	10.0	4.0	23	26	90.0	8.0	0	0
0	21.0	10.0	3.5	18	27	90.0	8.0	0	0
0	17.0	38.0	0.0	3	0	90.0	8.0	2	1
0	10.0	41.0	0.0	13	22	90.0	8.0	0	1
0	48.0	20.0	9.5	20	16	90.0	9.0	0	0
0	42.0	0.0	3.0	1	4	90.0	9.0	0	1
0	26.0	6.0	5.0	2	26	90.0	9.0	0	1
0	7.0	21.0	7.5	3	17	90.0	9.0	0	0
0	9.0	7.0	2.0	11	12	90.0	9.0	0	0
0	17.0	13.0	3.0	13	9	90.0	9.0	0	0
0	23.0	3.0	9.5	14	21	90.0	9.0	0	0
0	24.0	9.0	4.5	19	5	90.0	9.0	0	0
0	21.0	9.0	4.0	22	0	90.0	9.0	0	0
0	24.0	20.0	6.5	25	8	90.0	9.0	0	1
0	14.0	31.0	5.0	24	23	90.0	9.0	0	0
1	41.0	38.0	2.5	27	7	90.0	9.0	0	1
0	22.0	27.0	1.0	6	15	90.0	9.0	2	1
0	24.0	7.0	9.0	18	10	90.0	9.0	0	1
0	10.0	13.0	1.0	16	10	90.0	10.0	0	0
0	17.0	3.0	3.0	14	19	90.0	10.0	0	1
0	7.0	17.0	3.5	7	15	90.0	10.0	0	0
0	16.0	17.0	6.5	11	24	90.0	10.0	0	0
0	35.0	7.0	7.0	17	26	90.0	10.0	0	0
0	30.0	24.0	9.0	2	0	90.0	10.0	0	0
0	45.0	14.0	12.5	1	21	90.0	10.0	0	0
0	31.0	7.0	3.0	18	13	90.0	10.0	0	1
0	19.0	7.0	3.0	23	6	90.0	10.0	0	0
0	16.0	29.0	7.0	12	8	90.0	10.0	0	0
0	24.0	6.0	10.0	25	5	90.0	10.0	2	1
0	28.0	14.0	3.0	20	27	90.0	10.0	0	0
0	14.0	0.0	14.5	1	16	90.0	11.0	0	0
1	16.0	13.0	2.5	2	6	90.0	11.0	0	1
0	24.0	21.0	5.0	8	21	90.0	11.0	0	1
0	35.0	23.0	3.0	9	4	90.0	11.0	0	1
0	27.0	10.0	4.0	11	23	90.0	11.0	0	0
0	21.0	24.0	9.0	13	5	90.0	11.0	0	0
0	20.0	0.0	13.0	18	7	90.0	11.0	0	0
0	14.0	17.0	2.0	19	10	90.0	11.0	0	1
0	24.0	23.0	1.0	20	0	90.0	11.0	0	1
0	31.0	7.0	14.0	25	26	90.0	11.0	0	0
0	21.0	24.0	3.5	24	15	90.0	11.0	0	0
0	31.0	17.0	5.0	27	17	90.0	11.0	0	0
0	27.0	3.0	2.5	3	22	90.0	11.0	2	0
0	10.0	13.0	3.5	14	12	90.0	11.0	0	0
0	27.0	40.0	0.0	6	7	90.0	12.0	3	1
0	17.0	27.0	6.0	27	5	90.0	12.0	3	1
0	34.0	14.0	5.0	21	16	90.0	12.0	0	0
0	13.0	41.0	2.5	2	15	90.0	12.0	0	1
0	20.0	34.0	11.5	3	10	90.0	12.0	0	0
0	20.0	10.0	7.5	8	26	90.0	12.0	0	0
0	24.0	27.0	4.0	12	11	90.0	12.0	0	0
0	30.0	13.0	5.5	14	4	90.0	12.0	0	1
0	10.0	7.0	6.0	17	0	90.0	12.0	0	0
0	13.0	31.0	3.0	18	20	90.0	12.0	0	1
0	24.0	7.0	3.0	22	19	90.0	12.0	0	1
0	17.0	28.0	11.0	25	13	90.0	12.0	0	0
1	10.0	13.0	4.0	23	24	90.0	12.0	2	0
0	27.0	24.0	3.0	9	1	90.0	12.0	0	0
0	37.0	7.0	7.0	11	16	90.0	13.0	0	1
0	17.0	23.0	2.5	0	26	90.0	13.0	0	1
0	30.0	23.0	3.0	1	20	90.0	13.0	0	0
1	23.0	17.0	8.5	2	7	90.0	13.0	0	0
0	23.0	20.0	2.5	12	6	90.0	13.0	0	1
0	38.0	23.0	3.5	13	4	90.0	13.0	0	1
0	23.0	7.0	5.0	15	8	90.0	13.0	2	0
0	13.0	17.0	1.0	17	5	90.0	13.0	0	1
0	12.0	16.0	4.0	22	3	90.0	13.0	0	0
0	20.0	17.0	2.5	21	10	90.0	13.0	0	0
0	38.0	17.0	6.5	23	19	90.0	13.0	0	0
0	13.0	10.0	0.0	24	9	90.0	13.0	0	0
1	42.0	20.0	3.0	27	14	90.0	13.0	0	0
0	7.0	3.0	3.5	25	18	90.0	13.0	0	0
0	24.0	3.0	13.5	22	16	90.0	14.0	0	0
0	13.0	24.0	4.5	0	21	90.0	14.0	0	0
0	31.0	7.0	5.5	1	10	90.0	14.0	0	1
0	14.0	20.0	3.5	8	24	90.0	14.0	0	0
0	58.0	14.0	13.0	9	4	90.0	14.0	0	0
0	31.0	20.0	7.5	11	6	90.0	14.0	0	0
0	20.0	24.0	5.0	13	17	90.0	14.0	0	0
1	23.0	20.0	2.0	14	20	90.0	14.0	2	0
0	23.0	15.0	6.5	18	15	90.0	14.0	0	0
1	20.0	17.0	4.0	25	3	90.0	14.0	0	1
0	10.0	9.0	4.0	27	2	90.0	14.0	0	0
0	38.0	31.0	3.0	12	7	90.0	14.0	0	1
0	13.0	17.0	3.5	18	1	90.0	15.0	1	0
0	25.0	10.0	13.0	27	16	90.0	15.0	1	1
0	10.0	13.0	1.0	0	4	90.0	15.0	0	1
0	21.0	38.0	3.0	2	7	90.0	15.0	2	1
0	41.0	10.0	5.5	5	21	90.0	15.0	0	0
0	20.0	10.0	0.0	6	23	90.0	15.0	0	0
0	10.0	27.0	3.5	11	9	90.0	15.0	0	0
0	24.0	7.0	5.5	12	3	90.0	15.0	0	0
0	24.0	17.0	5.5	14	24	90.0	15.0	0	0
0	13.0	26.0	6.0	15	26	90.0	15.0	0	1
0	6.0	9.0	2.5	17	22	90.0	15.0	0	0
0	21.0	29.0	3.5	19	10	90.0	15.0	0	0
0	31.0	0.0	10.0	20	8	90.0	15.0	0	0
0	26.0	10.0	6.0	25	13	90.0	15.0	0	1
0	24.0	17.0	3.5	7	8	90.0	16.0	1	1
0	28.0	24.0	0.0	12	15	90.0	16.0	1	1
0	28.0	35.0	6.0	27	10	90.0	16.0	1	1
0	42.0	7.0	7.0	19	16	90.0	16.0	0	0
0	24.0	14.0	3.5	1	14	90.0	16.0	0	0
0	27.0	14.0	7.0	2	26	90.0	16.0	0	0
0	20.0	40.0	2.5	9	3	90.0	16.0	0	1
0	24.0	21.0	2.0	11	23	90.0	16.0	0	1
0	13.0	20.0	3.5	13	0	90.0	16.0	0	1
0	17.0	3.0	7.0	20	5	90.0	16.0	0	0
0	35.0	0.0	10.5	22	4	90.0	16.0	0	0
0	24.0	21.0	6.5	18	21	90.0	16.0	0	1
0	10.0	13.0	9.0	25	17	90.0	16.0	0	0
0	17.0	12.0	5.0	24	6	90.0	16.0	2	0
0	21.0	10.0	1.0	11	2	90.0	17.0	1	1
0	23.0	21.0	7.5	20	21	90.0	17.0	1	1
0	23.0	17.0	7.5	14	10	90.0	17.0	0	0
0	29.0	14.0	5.0	27	1	90.0	17.0	0	0
0	21.0	14.0	16.5	3	4	90.0	17.0	0	0
0	26.0	7.0	1.0	0	5	90.0	17.0	0	0
0	13.0	10.0	14.0	18	16	90.0	17.0	0	1
0	20.0	17.0	3.0	25	15	90.0	17.0	0	1
0	30.0	10.0	3.0	24	7	90.0	17.0	0	0
0	22.0	13.0	7.5	6	8	90.0	17.0	0	0
0	14.0	16.0	3.5	26	19	90.0	17.0	0	0
0	17.0	12.0	9.5	12	23	90.0	17.0	0	0
0	14.0	34.0	1.5	22	9	90.0	17.0	2	1
0	20.0	17.0	6.0	17	13	90.0	17.0	0	0
0	7.0	16.0	9.0	10	16	91.0	1.0	0	0
0	16.0	13.0	2.5	19	26	91.0	1.0	0	0
0	26.0	14.0	2.0	5	4	91.0	1.0	0	1
0	27.0	24.0	3.5	17	24	91.0	1.0	0	0
0	14.0	3.0	7.0	11	0	91.0	1.0	0	0
0	20.0	3.0	1.5	20	8	91.0	1.0	0	1
0	10.0	6.0	2.0	2	15	91.0	1.0	0	0
0	26.0	20.0	5.0	22	23	91.0	1.0	0	0
0	45.0	14.0	2.0	6	3	91.0	1.0	0	0
0	14.0	24.0	7.0	13	21	91.0	1.0	0	0
0	47.0	17.0	2.5	9	12	91.0	1.0	0	0
0	35.0	31.0	7.0	1	14	91.0	1.0	0	0
0	45.0	0.0	7.5	27	7	91.0	1.0	2	0
0	16.0	14.0	2.0	18	25	91.0	1.0	0	0
0	0.0	20.0	1.0	16	4	91.0	2.0	0	0
